,IN_LABORATORIO_CIENCIAS,QT_FUNCIONARIOS,IN_NOTURNO,IN_FUND_AF,IN_MED,QT_MAT_FUND,QT_MAT_FUND_AF,QT_MAT_MED,QT_MAT_BAS_FEM,QT_MAT_BAS_MASC,QT_MAT_BAS_ND,QT_MAT_BAS_BRANCA,QT_MAT_BAS_PRETA,QT_MAT_BAS_PARDA,QT_MAT_BAS_11_14,QT_MAT_BAS_15_17,QT_MAT_BAS_18_MAIS,QT_MAT_BAS_D,QT_MAT_BAS_N,QT_DOC_BAS,QT_DOC_FUND,QT_DOC_FUND_AF,QT_DOC_MED,QT_DOC_ESP,QT_DOC_ESP_CC,QT_TUR_BAS,QT_TUR_FUND,QT_TUR_FUND_AF,QT_TUR_MED,QT_MAT_BAS
QT_DOC_FUND,0.33019323534807055,0.3480721166946678,0.4726594077342238,0.69646560833628,0.307761003263341,0.9166812055634922,0.7305424548655369,0.16236121587160346,0.6508075333710152,0.6901680243848238,0.6214718980415191,0.37624380832501086,0.3561270684936485,0.45590621694330186,0.7880863168610706,0.38126616989591144,0.3249351758227989,0.5323123789997296,0.5403805101092913,0.5317216149814743,1.0,0.7980285582439783,0.12609921118970638,0.47250530975885274,0.47342563241704727,0.6893022268274019,0.8956832462216681,0.7668902525166644,0.14683599159714616,0.6760497334673802
QT_DOC_FUND_AF,0.5042779640627166,0.33640105396532666,0.4063750350325717,0.8735938375512541,0.5697766635287518,0.7029533666026482,0.9349111803169162,0.3718314381981323,0.6796612610703969,0.6774957620073419,0.5823371585451261,0.4198547589001565,0.3539849892735722,0.523763075257657,0.9055624997795887,0.6160998539535025,0.4485375188495298,0.542608646702906,0.6012332513212438,0.5339564381916079,0.7980285582439783,1.0,0.32408975841556953,0.4836698108042751,0.48404086779569605,0.5765843513387453,0.5294370695593603,0.957730759106143,0.3590500009134788,0.6853959124781984
QT_DOC_MED,0.5218336167306721,0.49233172913197765,0.2642505828387782,0.2489724660124462,0.7011177403304801,0.08924268405252937,0.3091412887957449,0.894781319458492,0.6056143451363362,0.6350388219535863,0.4327074258163258,0.6100853412458851,0.33549030271984037,0.5636661303399237,0.30472858337357034,0.8345869501565091,0.6799294278458877,0.6021425566907617,0.4617512367422024,0.7897032678816341,0.12609921118970638,0.32408975841556953,1.0,0.5241291953641155,0.5247184284092695,0.5724054351979821,-0.031321806703751266,0.2807544081660089,0.9409872241931471,0.6256702372326142
QT_DOC_ESP,0.3841366349587335,0.18244128750795607,0.3966740770267307,0.4110413608993191,0.43464756394921494,0.3620721214736251,0.3946441651972996,0.4367106711149918,0.5486589825259701,0.6146021433156248,0.3422758803836782,0.5491540020275395,0.32663900641821497,0.6246213099016316,0.4342798361837358,0.584398317690388,0.5142120075531053,0.7756540359545167,0.41842779141333913,0.6687248115792923,0.47250530975885274,0.4836698108042751,0.5241291953641155,1.0,0.9980389047079044,0.6108330878958331,0.33618432876403703,0.42159101579318436,0.4627960541727124,0.585555726207254
QT_DOC_ESP_CC,0.3856543674442891,0.18125021565202168,0.3986486129073285,0.4104537030517117,0.434421881835127,0.3643311888269673,0.3957238035079505,0.4377428303863289,0.5504085609242706,0.6163218243068832,0.3442208283183834,0.5492978040726575,0.32589582883810464,0.6256862581694269,0.435559658306358,0.5854768747169525,0.5140700551800865,0.7782124426112439,0.4187255824419757,0.6683433519980008,0.47342563241704727,0.48404086779569605,0.5247184284092695,0.9980389047079044,1.0,0.6111375089243237,0.3382346123937774,0.42259740642558896,0.46367520483032076,0.5873084722848435
QT_TUR_BAS,0.48010581661921603,0.5877409313494627,0.5909839568376017,0.466752359529401,0.48989853236989067,0.7158392078992439,0.5908618541780205,0.5905155775215473,0.9123171110129499,0.942725025274616,0.7826260770855811,0.6632919475301644,0.533141379871377,0.7036166507034816,0.6683003802168359,0.7137502249730062,0.7668015458136305,0.7821953732603376,0.7668681573795939,0.8573067940901254,0.6893022268274019,0.5765843513387453,0.5724054351979821,0.6108330878958331,0.6111375089243237,1.0,0.6713699454884445,0.5961597067762231,0.5946286362371083,0.9358954185512592
QT_TUR_FUND,0.17372806130206683,0.3149942976985892,0.43913329371148324,0.4570414012190779,0.07572646627260188,0.9342100614618628,0.540154056821388,0.011230368588039472,0.5548922270699013,0.6124275009911703,0.5870157318912624,0.28640418288167035,0.31359021453469443,0.33698437316170626,0.6376852605114482,0.19156936098714286,0.20644859506685379,0.4466598949457456,0.4395098791405492,0.40469335257348177,0.8956832462216681,0.5294370695593603,-0.031321806703751266,0.33618432876403703,0.3382346123937774,0.6713699454884445,1.0,0.5837787666841481,-0.005784522405796357,0.5878431155362299
QT_TUR_FUND_AF,0.4975777179039511,0.35228316870932247,0.4005671118240867,0.826482004413246,0.5150936255187181,0.7570717281443686,0.9741535725843814,0.34896608490501946,0.6939495221181496,0.6937701894816439,0.622134153027542,0.4087931368636325,0.360226818602218,0.5012777331216812,0.9443584933491312,0.6020714313484797,0.43789308647641473,0.5268723362963164,0.6147043709526164,0.4944036820047412,0.7668902525166644,0.957730759106143,0.2807544081660089,0.42159101579318436,0.42259740642558896,0.5961597067762231,0.5837787666841481,1.0,0.33322347984426753,0.7007732079193103
QT_TUR_MED,0.5683941443606835,0.46650936860633674,0.2924035744490275,0.27270330809693644,0.7482556349786951,0.13881606746458505,0.37522816823242944,0.9857961333630264,0.6937015238502672,0.6728482702190484,0.5074817660052962,0.6025951847419518,0.3579341534083046,0.5979678598997304,0.3702034000161898,0.9031838143509597,0.7196814543159655,0.6024064294634033,0.5497109012810036,0.7175883133623918,0.14683599159714616,0.3590500009134788,0.9409872241931471,0.4627960541727124,0.46367520483032076,0.5946286362371083,-0.005784522405796357,0.33322347984426753,1.0,0.6906677882269179
QT_MAT_BAS,0.5602374088120446,0.5711932200028275,0.5825796679128208,0.5588029556946391,0.6174043980394628,0.733287783207019,0.7360097308762786,0.7133131748042127,0.9911931137418568,0.9889657911576796,0.8398792192314782,0.6977833818944414,0.5550352043910134,0.7511562474851788,0.7877427864135942,0.8483157297343138,0.8311121963875694,0.7848717272757717,0.8617377400131316,0.8152378000375482,0.6760497334673802,0.6853959124781984,0.6256702372326142,0.585555726207254,0.5873084722848435,0.9358954185512592,0.5878431155362299,0.7007732079193103,0.6906677882269179,1.0
